" ","score","status","future","trend","pressures","resilience"
"Index",83.71,,88.26,,,
"Food Provision",60.31,51,69.62,0.22,,
". Fisheries",26.4,24,28.81,0,21.59,82.28
". Mariculture",78.22,65.27,91.18,0.33,26.39,79.68
"Artisanal Fishing Opportunity",78.45,70.34,86.56,0.01,16.75,83.76
"Natural Products",92.46,84.92,100,0,14.83,85.15
"Carbon Storage",,100,,0.5,,88.71
"Coastal Protection",83.28,74.33,92.23,0.06,27.26,88.71
"Tourism & Recreation",100,100,100,0.01,44.47,89.47
"Coastal Livelihoods & Economies",100,100,100,0.56,,
". Livelihoods",100,100,100,0.11,15.75,54.34
". Economies",100,100,100,1,18.44,78.83
"Sense of Place",68.6,70,67.2,-0.25,,
". Iconic Species",37.2,40,34.39,-0.5,24.32,83.35
". Lasting Special Places",100,100,100,0,30.99,88.34
"Clean Waters",78.75,75.31,82.19,-0.01,60.53,89.47
"Biodiversity",91.58,86.64,96.51,0.04,,
". Habitats",94.6,89.2,100,0.2,16.81,81.85
". Species",88.55,84.08,93.03,-0.12,25.63,82.22
