" ","score","status","future","trend","pressures","resilience"
"Index",85.21,,88.35,,,
"Food Provision",70,69.58,70.41,0.27,,
". Fisheries",13.2,12,14.41,0,21.51,82.28
". Mariculture",100,100,100,0.41,26.39,79.68
"Artisanal Fishing Opportunity",78.46,70.34,86.58,0.01,16.65,83.76
"Natural Products",96.23,92.46,100,0,14.81,85.15
"Carbon Storage",,100,,0.5,,88.71
"Coastal Protection",83.28,74.33,92.23,0.06,27.25,88.71
"Tourism & Recreation",100,100,100,0.01,44.47,89.47
"Coastal Livelihoods & Economies",100,100,100,0.56,,
". Livelihoods",100,100,100,0.11,15.74,54.34
". Economies",100,100,100,1,18.43,78.83
"Sense of Place",68.61,70,67.21,-0.25,,
". Iconic Species",37.21,40,34.43,-0.5,24.06,83.35
". Lasting Special Places",100,100,100,0,30.67,88.34
"Clean Waters",78.75,75.31,82.19,-0.01,60.53,89.47
"Biodiversity",91.59,86.64,96.53,0.04,,
". Habitats",94.6,89.2,100,0.2,16.75,81.85
". Species",88.58,84.08,93.07,-0.12,25.47,82.22
